kelime,kok
sayesinde,saye:sinde
okumadım,oku:madım
okumadın,oku:madın
kalarak,kal:arak
yıkanma,yıka:nma
notlar,not:lar
yaşarlar,yaşa:rlar
bahçesindeki,bahçe:sindeki
yaklaşılamayacağını,yaklaş:ılamayacağını
seyretmeye,seyret:meye
çevirmişti,çevir:mişti
malumatı,malumat:ı
yalnızlığa,yalnız:lığa
senenin,sene:nin
sözcüklerin,sözcük:lerin
ziyaretçisi,ziyaretçi:si
kapatmıştı,kapat:mıştı
çık,çık
söndükten,sön:dükten
zannettim,zannet:tim
ağaçlıkta,ağaç:lıkta
filan,filan
konuşup,konuş:up
konuşur,konuş:ur
yokluğu,yok:luğu
hatırlayıp,hatırla:yıp
korkutmuştu,korkut:muştu
kahkahayı,kahkaha:yı
tavşan,tavşan
muvaffak,muvaffak
telgrafınız,telgraf:ınız
içiriyordu,içir:iyordu
yabancılar,yabancıla:r
sokuldum,sokul:dum
yanınıza,yan:ınıza
mizacıma,mizaç:ıma
altındaki,altın:daki
deli,deli
zamanki,zaman:ki
geçiyordu,geç:iyordu
sevinmişti,sevin:mişti
dingilden,dingil:den
sessizliğimden,sessiz:liğimden
akıllıca,akıllı:ca
ziraat,ziraat
yapmadılar,yap:madılar
gülüşme,gülüş:me
neyse,ney:se
kediler,kedi:ler
yetmekte,yet:mekte
hastalığından,hastalık:ından
sundu,sun:du
yaşıyordu,yaşa:yordu
aramayışı,ara:mayışı
talimgahta,talimgah:ta
öğrendiniz,öğren:diniz
geldiğince,gel:diğince
beğenmiş,beğen:miş
yorgunluğa,yorgun:luğa
anlatabilirim,anlat:abilirim
pansiyonun,pansiyon:un
esnekti,esnek:ti
yemeye,ye:meye
başınızın,baş:ınızın
istemeyişi,iste:meyişi
çözmeye,çöz:meye
içindeydi,içinde:ydi
eşarp,eşarp
ukalalığa,ukala:lığa
hoş,hoş
başta,baş:ta
şarkısına,şarkı:sına
çarpıntı,çarpıntı
kediydi,kedi:ydi
yaşamıyor,yaşa:mıyor
kapıcıyı,kapıcı:yı
doğruluğunu,doğru:luğunu
bakmam,bak:mam
çıkabileceği,çık:abileceği
yaşayıp,yaşa:yıp
ikişerli,iki:şerli
dayılarının,dayı:larının
sofralara,sofra:lara
düşmanın,düşman:ın
hepimiz,hep:imiz
tabelayı,tabela:yı
dahi,dahi
günüm,gün:üm
günün,gü:nün
kapılıp,kapıl:ıp
aralarında,ara:larında
daha,daha
bilmiyorduk,bil:miyorduk
doğan,doğ:an
bilmiyordum,bil:miyordum
almama,al:mama
ucunda,uç:unda
gayet,gayet
bilmiyordur,bil:miyordur
korkmaktan,kork:maktan
boştu,boş:tu
herr,herr
teklifiniz,teklif:iniz
aldığım,al:dığım
mevzuuydu,mevzuu:ydu
karıştırırsa,karış:tırırsa
vururdun,vur:urdun
havran,havra:n
tablolarının,tablo:larının
kapısının,kapı:sının
görmeden,gör:meden
duygularını,duygu:larını
gitmek,git:mek
gitmem,git:mem
değişiyor,değiş:iyor
akıntıya,akıntı:ya
getirişim,getir:işim
sazlar,saz:lar
gitmez,git:mez
günlerini,gün:lerini
anı,a:nı
etmemiş,et:memiş
kızlarıyla,kız:larıyla
dolaştılar,dolaş:tılar
göstermiş,göster:miş
fahriye'den,fahriye:'den
müthiş,müthiş
tahammül,tahammül
edebiyat,edebiyat
intizamsız,intizam:sız
konserde,konser:de
uzunca,uzun:ca
zorladıkça,zorla:dıkça
katlanmaya,katlan:maya
gelmezdin,gel:mezdin
tevekkülle,tevekkül:le
kesilinceye,kes:ilinceye
vermezmiş,ver:mezmiş
çimdiklenince,çimdikle:nince
lisan,lisa:n
temenni,temenni
çaresizlikten,çare:sizlikten
geçeceğimi,geç:eceğimi
unutan,unut:an
kızgınlığım,kızgın:lığım
işinin,iş:inin
kıvır,kıvır
tüyleriyle,tüy:leriyle
yakınından,yakın:ından
buğulu,buğulu
şirin,şirin
demekten,de:mekten
inanıyor,inan:ıyor
hattını,hat:tını
hazırlanmam,hazırla:nmam
takla,takla
cihat'la,cihat:'la
yerdeyim,yer:deyim
karıştırmaya,karış:tırmaya
yolculuk,yolculuk
mezarının,mezar:ının
sokulganlığımı,sokulgan:lığımı
ömrü,ömür
meçhulü,meçhul:ü
kadınları,kadın:ları
eskiden,eski:den
temas,temas
nedenle,neden:le
çalıyordu,çal:ıyordu
haziran,haziran
bankalar,banka:lar
hareketsizdi,hareket:sizdi
mığrıydı,mık:rıydı
altınlar,altın:lar
yatmış,yat:mış
sevemeyeceğimi,sev:emeyeceğimi
garsonlara,garson:lara
oturmuş,otur:muş
düşeceğini,düş:eceğini
yapılmış,yapıl:mış
mevsim,mevsim
esaslı,esas:lı
zaferin,zafer:in
uçarsın,uçar:sın
kaçacağız,kaç:acağız
gömü,gö:mü
tabağına,tabak:ına
kaplumbağaydı,kaplumbağa:ydı
sakatlık,sakat:lık
atmıyoruz,at:mıyoruz
gevşemiş,gevşe:miş
düşünmenizi,düşün:menizi
anlayınca,anla:yınca
şart,şart
kavgalar,kavga:lar
boyadığınızı,boya:dığınızı
döverim,döv:erim
girebileceğim,gir:ebileceğim
uyuduğum,uyu:duğum
ilişen,iliş:en
kazanlarının,kazan:larının
düşünmüyorum,düşün:müyorum
olamıyordum,ol:amıyordum
kıymetleri,kıymet:leri
fenerle,fener:le
ilerliyorduk,ilerle:yorduk
mağaradaki,mağara:daki
sanki,sanki
yapalım,yap:alım
gülümsemek,gülümse:mek
şarkısını,şarkı:sını
misiniz,mis:iniz
anlayamıyorduk,anla:yamıyorduk
yukarısı,yukarı:sı
anlayamıyordum,anla:yamıyordum
gülüşümüzü,gül:üşümüzü
resmin,resim:n
kızların,kız:ların
pirinçten,pirinç:ten
köpek,köpek
tutturmaya,tut:turmaya
kırpılmış,kırp:ılmış
birbirinden,birbiri:nden
süzdü,süz:dü
bırakmamıştım,bırak:mamıştım
atıyordu,at:ıyordu
göndermesi,gönder:mesi
soruyordu,sor:uyordu
geçin,geçin
ürpermeler,ürper:meler
geçip,geç:ip
kimselere,kimse:lere
ağrımaya,ağrı:maya
hatıralarımla,hatıra:larımla
kapıcıya,kapıcı:ya
denizdeki,deniz:deki
yaptıktan,yap:tıktan
buluyor,bula:yor
kleopatra'dan,kleopatra:'dan
rafları,raf:ları
kuruttu,kuru:ttu
cinsten,cins:ten
geçebilecek,geç:ebilecek
seyretmekte,seyret:mekte
sevinç,sevinç
koymaz,koy:maz
erkekle,erkek:le
bakkalına,bakkal:ına
küçüklüğü,küçük:lüğü
halsizdi,hal:sizdi
durumu,durum:u
orman,orman
elinden,el:inden
yapmasaydım,yap:masaydım
hiddet,hiddet
camların,cam:ların
bıçakla,bıçakla
ormandaki,orman:daki
habersiz,haber:siz
yararlı,yararlı
alışını,alış:ını
bundan,bun:dan
gülüşerek,gülüş:erek
bakacak,bak:acak
makamında,makam:ında
bulutlar,bulut:lar
çağırdığımı,çağır:dığımı
kırlara,kır:lara
günaydın,günaydın
boğuk,boğuk
bozacağından,boz:acağından
kesilmeyi,kes:ilmeyi
atölyede,atölye:de
ermesini,er:mesini
veriyormuş,ver:iyormuş
aceleye,acele:ye
yapmayı,yap:mayı
duyduklarımdan,duyduk:larımdan
çorabın,çorap:ın
sanır,sanı:r
uçup,uç:up
çıkarırdım,çıkar:ırdım
dairenin,daire:nin
demeleri,de:meleri
bilmeceler,bilmece:ler
mahluktan,mahluk:tan
kraliçelerden,kraliçe:lerden
etmeyi,et:meyi
kesmiş,kes:miş
sizi,siz:i
vedat'ı,vedat:'ı
gayeye,gaye:ye
sırıtan,sırıt:an
savurduktan,savur:duktan
bildim,bil:dim
etmeye,et:meye
bulsa,bul:sa
yüzü,yüz:ü
allak,allak
toplanıyor,top:lanıyor
değilim,değil:im
allah,allah
kaplumbağanın,kaplumbağa:nın
düşündükçe,düşün:dükçe
haber,haber
vazolar,vazo:lar
dönüşecek,dönüş:ecek
gelmiştir,gel:miştir
değiliz,değil:iz
kitaba,kitap:a
ürperiyordu,ürper:iyordu
aksırmak,aksır:mak
