açtı,aç:tı
dolaşmaya,dolaş:maya
kaygan,kaygan
dediğim,de:diğim
bütün,bütün
göz,göz
ayakkabılarını,ayakkabı:larını
yaklaşırken,yaklaş:ırken
zafer,zafer
söyleyebilir,söyle:yebilir
ağızlarındadır,ağız:larındadır
kulaklarım,kulak:larım
sus,sus
kuş,kuş
küçülmeme,küçül:meme
buhar,buhar
elimizden,el:imizden
at,at
kollarıyla,kol:larıyla
gülmeye,gül:meye
yaprağıyla,yaprak:ıyla
yukarıdan,yukarı:dan
parmakları,parmak:ları
kessinler,kes:sinler
olmaktan,ol:maktan
kapalıydı,kapalı:ydı
başladığını,başla:dığını
yetişkin,yetişkin
kalkıp,kalk:ıp
boğuk,boğuk
köpeğin,köpek:in
konuşurken,konuş:urken
teklifle,teklif:le
şevkle,şevk:le
değil,değil
tuzlu,tuz:lu
beye,bey:e
söylenecek,söylen:ecek
önemini,önem:ini
şişe,şişe
yakalar,yakala:r
benziyordu,benze:iyordu
süt,süt
üstünde,üstün:de
koyuyorsun,koy:uyorsun
peni,peni
bilinseydi,bil:inseydi
niyeti,niyet:i
lezzete,lezzet:e
uzanıyordu,uzan:ıyordu
derdin,dert:in
uyuyamadım,uyu:yamadım
orada,ora:da
tatlılar,tatlı:lar
anlayacağınız,anla:yacağınız
farkedince,farket:ince
çorbanın,çorba:nın
küstah,küstah
kaldı,kal:dı
olamayacağını,ol:amayacağını
birilerine,birileri:ne
görüntüleri,görüntü:leri
kalmaya,kal:maya
sürer,süre:r
şeklinin,şekli:nin
göründüğünde,gör:ündüğünde
suçum,suç:um
şeker,şeker
meselesidir,mesele:sidir
oturur,otur:ur
kurbağaya,kurbağa:ya
aynen,aynen
ana,ana
tahtı,taht:ı
bakma,bak:ma
bulduğuna,bul:duğuna
uzatıp,uzat:ıp
üniformasından,üniforma:sından
tepeleyin,tepele:yin
gelmiyordu,gel:miyordu
kadril,kadril
gövdesini,gövde:sini
yükselterek,yüksel:terek
herkese,herkes:e
saldırdılar,saldır:dılar
askerlerin,asker:lerin
allak,allak
böylelikle,böyle:likle
uzanıp,uzan:ıp
derim,deri:m
merhem,merhem
sevgili,sevgili
esneyerek,esne:yerek
merdivenleri,merdiven:leri
anlatacağına,anlat:acağına
